cell,lon,lat,range,updated
38479115,-0.8721,41.6473,882,1747568341
38405900,-0.8645,41.6475,500,1747568341
38493707,-0.9758,41.6954,5435,1727759705
51202058,-5.6542,43.5376,1000,1734015669
51200524,-5.6632,43.5436,1000,1714837034
51201804,-5.6494,43.5385,1000,1734015668
51214602,-5.6662,43.5144,1813,1751362262
51213835,-5.688,43.5151,1361,1740753965
64085771,2.7273,39.5536,2455,1730793323
64006410,2.6426,39.5834,3863,1729114030
64050956,2.628,39.5852,3135,1730793319
38414603,-0.9636,41.6871,1000,1746645421
51201034,-5.661,43.5367,1311,1734015669
51201803,-5.637,43.5303,3924,1734015668
51215114,-5.6664,43.5433,1000,1714837035
52839180,-5.7373,43.5107,834,1760964605
52839179,-5.7454,43.5059,995,1760964605
66308619,2.7234,39.5452,655,1730793323
64004108,2.6128,39.5571,1449,1729114033
64001035,2.6443,39.5751,1000,1729114033
64006923,2.6302,39.5675,500,1730144642
51515147,-5.3565,43.3458,1000,1746209162
51515146,-5.3629,43.3496,1000,1746209162
51200780,-5.6781,43.5416,1424,1734015669
51204363,-5.6602,43.5217,919,1734015668
51205900,-5.6947,43.5179,763,1734015667
64021515,2.7308,39.5475,500,1730793323
64006668,2.6207,39.5722,1162,1730793321
64001034,2.6477,39.5769,1000,1729114034
64001036,2.6446,39.577,1000,1729114034
64010251,2.6113,39.572,1023,1730793321
64014860,2.6044,39.5588,1705,1730793322
64022029,2.6428,39.5725,1000,1729114034
64185354,2.603,39.5617,1182,1730793321
152623115,3.1186,39.797,5267,1713722404
51200522,-5.6555,43.5409,3065,1732182427
51200778,-5.6656,43.5401,1683,1714837035
64003594,2.6453,39.5782,765,1729114031
64015372,2.5931,39.5566,6508,1730793322
64022027,2.6468,39.5676,543,1729114034
64012812,2.624,39.5714,503,1730793321
152623114,3.1148,39.8183,2163,1713722344
51200779,-5.6696,43.5378,500,1734015669
64013066,2.6247,39.5663,1000,1730144642
64020746,2.6287,39.5786,1000,1758873722
51202060,-5.6564,43.5361,1000,1734015669
51203084,-5.662,43.5323,1000,1714837034
66308618,2.7296,39.5471,500,1730793323
64003852,2.6222,39.5614,1000,1729114028
64014858,2.6113,39.5589,1000,1729114029
64012810,2.6353,39.5694,5398,1730144642
64185355,2.5904,39.555,6756,1730793322
66307850,2.6443,39.5726,878,1729114034
152188180,1.2704,38.9661,4911,1744662548
152623116,3.1086,39.8146,1247,1713722405
64011276,2.649,39.5729,1080,1729114034
151548436,2.7147,39.7719,1633,1713892396
66342410,2.6516,39.5972,866,1730793318
76812298,-15.4119,28.0984,7892,1721546704
76804362,-15.4115,28.0946,7626,1721546709
76805386,-15.4145,28.0905,1969,1721546649
152623126,3.0973,39.8167,12115,1713722405
64050186,2.6889,39.5624,2004,1730793322
64011274,2.6544,39.5739,1000,1729114031
151548427,2.7075,39.7661,1000,1713892444
151548428,2.7054,39.7767,1000,1713892444
151599125,2.8652,39.6718,4115,1713892387
76844043,-15.3963,27.9227,7000,1721546707
76805387,-15.4089,28.0423,7347,1721546645
152674326,3.0154,39.774,10423,1713892384
64002826,2.6571,39.5849,500,1729114032
64004363,2.6616,39.5915,1000,1730793322
66354187,2.6448,39.5953,1322,1730793319
64022282,2.6738,39.5906,22482,1730793318
76811530,-15.4189,28.1135,5729,1721546645
76804364,-15.4156,28.1087,1000,1721546709
64007435,2.6773,39.565,2280,1730793322
64184331,2.6457,39.567,500,1729114034
64003082,2.6538,39.5869,1000,1729114032
64051468,2.6502,39.5854,1000,1729114032
78369804,-16.3045,28.4738,1946,1753994084
151548438,2.7035,39.7789,1000,1713892444
64257546,2.675,39.5629,2112,1729114028
151599115,2.8495,39.6784,3887,1713892387
64005900,2.6443,39.5894,879,1730793318
64003084,2.6367,39.5848,3699,1729114033
64182284,2.6666,39.5894,1000,1730793322
76803596,-15.4257,28.1192,5434,1721546709
76812300,-15.413,28.1036,1000,1721546709
76804875,-15.4126,28.0948,1000,1721546705
151548437,2.7013,39.7662,1137,1713892395
64513291,2.6463,39.5682,1000,1729114034
64263692,2.6798,39.5766,2740,1730793322
64016140,2.6771,39.5909,22233,1730793322
76804874,-15.4123,28.0968,1000,1721546763
76805642,-15.4162,28.0823,1878,1721546709
91446027,-3.7329,43.3863,2608,1715269051
91446026,-3.7052,43.3909,2342,1715269052
77296651,-15.4563,28.1012,1000,1735840201
249356408,-3.6495,40.1262,3416,1758997561
89629452,-3.857,43.4358,1452,1757447521
249356409,-3.6303,40.1033,2498,1758996183
140826124,-6.9779,38.8733,1006,1754132766
140829195,-6.9679,38.875,1000,1743758762
140829452,-6.9966,38.8809,1000,1743793865
115738124,-4.7113,41.6279,2649,1745233028
140825867,-6.9727,38.8751,1000,1743793866
140826379,-6.9809,38.8731,1000,1754132766
140827147,-6.9636,38.8768,500,1743758762
140827659,-6.9811,38.8862,1003,1743793866
140826892,-6.9605,38.8769,4115,1743200642
140826122,-6.9582,38.8615,2190,1754132766
140953610,-7.0011,38.8778,4638,1746555404
140829194,-6.97,38.8871,1107,1743758762
141005066,-6.9513,38.8632,4267,1743696362
140827916,-6.9769,38.912,2851,1746555402
140826891,-6.9539,38.8699,6107,1745945405
140825866,-6.973,38.885,500,1743758762
140909834,-6.9441,38.8995,3934,1746095281
140827915,-6.9678,38.8868,1904,1745945405
116969739,-5.4171,41.8558,2183,1721577315
140826123,-6.9752,38.8691,1000,1745945404
140827146,-6.9578,38.8799,500,1745945405
140828939,-6.9831,38.8739,1000,1743793867
140902668,-6.8993,38.9333,6951,1746555400
116969738,-5.4419,41.8734,5730,1721577315
140826378,-6.9772,38.8761,500,1754132765
140953611,-6.9753,38.872,1000,1754132766
141005068,-6.9473,38.902,3159,1743758762
140827148,-6.9646,38.8837,1000,1745945405
140825868,-6.9888,38.8803,1435,1743793866
140826636,-6.9779,38.8683,8457,1743696362
140827914,-6.9573,38.9151,5663,1746555401
140835084,-6.9958,38.8697,6217,1743758763
155829771,-7.8733,42.343,2047,1749496808
179233034,-1.1328,38.0485,3460,1741595947
179232267,-1.1529,38.0087,2493,1721030046
179245835,-1.1712,38.008,5818,1740085751
179610636,-1.1483,38.0279,1000,1721030045
179226112,-1.1313,37.992,1000,1721030044
179227916,-1.1305,37.977,1000,1735593690
179227658,-1.1335,37.9879,7026,1726085643
179228171,-1.1223,37.9771,1000,1726085643
179229962,-1.115,37.9763,4833,1739987588
179584012,-1.1358,37.9622,765,1740085752
