cell,lon,lat,range,updated
74004500,-3.6872,40.5194,618,1760784562
71747339,-3.8109,40.4748,18033,1722805443
71702558,-3.7212,40.4838,1279,1760787605
71692820,-3.6954,40.4858,2190,1760784562
71690014,-3.7123,40.5002,2816,1760784562
71747349,-3.8027,40.4615,2563,1722769027
71747338,-3.8037,40.4658,766,1756661827
71951380,-3.6164,40.5355,1297,1733468530
71738654,-3.7134,40.4519,1800,1714660083
71681300,-3.6948,40.4865,727,1760784563
71690250,-3.7196,40.5002,4367,1760787605
71746590,-3.774,40.4625,792,1756661827
73982494,-3.7108,40.4401,544,1716668042
74000650,-3.7679,40.4643,3237,1756661827
71689994,-3.6952,40.5023,854,1760784562
71693076,-3.6887,40.5087,558,1760784562
71697162,-3.7053,40.472,547,1743249362
71747359,-3.8119,40.4585,2673,1722769027
73968660,-3.7515,40.482,551,1747516803
73968650,-3.7557,40.4922,1313,1747516803
71851530,-3.7044,40.4724,548,1743249362
72515687,-4.0132,40.6362,1213,1714080789
72516710,-4.0199,40.6388,1000,1714080789
71741194,-3.7029,40.4479,644,1716668043
71690004,-3.6983,40.4919,611,1760784562
71681290,-3.6989,40.4965,4183,1760784562
72516711,-4.0333,40.6416,1093,1714080789
72513382,-3.9531,40.5884,1000,1722768731
71739751,-3.8171,40.4695,1000,1714080793
72511845,-3.9613,40.5989,1000,1714080792
72501350,-3.8238,40.4723,1000,1714080793
71739750,-3.8098,40.4668,1000,1714080793
71729684,-3.6978,40.4465,1000,1716668043
71729694,-3.6995,40.4466,1000,1716668043
71735828,-3.7083,40.447,1472,1716668043
71692821,-3.6942,40.4843,571,1760784546
71746581,-3.7548,40.4668,4193,1756661827
73959188,-3.688,40.4296,3860,1732906204
81418,-3.6855,40.4193,1000,1760348881
71684198,-3.6989,40.4611,1000,1717795764
73982474,-3.7074,40.4426,1000,1716668042
71702548,-3.7153,40.4891,500,1760787605
27412,-3.6826,40.4771,2269,1749496807
71684875,-3.6422,40.5428,1000,1760784543
980490,-3.6322,40.4855,1000,1736929921
71684885,-3.6352,40.538,1000,1760784543
71684895,-3.6454,40.5389,740,1760784556
72910087,-3.6808,40.5192,1049,1744148103
71714590,-3.6664,40.4071,4801,1754562375
71782942,-3.6753,40.4064,583,1734271263
71782410,-3.6667,40.4028,737,1751823187
